"NAME","STATE","CITY","ZIP5","EIN"
"catholic charities diocese of worcester ","ma","worcester","01610"," 42103979"
"massachusetts general hospital nurses alumnae association in","ma","boston","02114"," 42121358"
"beth israel hospital assoc trust ud 15-0959-00-5 nect","ma","boston","02111"," 46431427"
"structured employment economic development corporation","ny","new york","10010","132875743"
"church world service ","in","elkhart","46514","134080201"
"jewish family service of orange county ","ny","middletown","10940","141731791"
"child & family services of erie county","ny","buffalo","14202","161004825"
"catholic charities diocese of tyler","tx","tyler","75702","202766724"
"margaret & martha thomas foundation the","ne","beatrice","68310","203652030"
"n penn comprehensive health services","pa","wellsboro","16901","231889724"
"richard j casey foundation the","nc","chapel hill","27517","273932176"
"national hemophilia foundation the greater cinti northern ky","oh","cincinnati","45203","310928221"
"scripps research institute","ca","la jolla","92037","330435954"
"catholic charities diocese of toledo ","oh","toledo","43604","344428254"
"natalia volunteer fire department ","tx","natalia","78059","383773347"
"wheatland volunteer fire department","mo","wheatland","65779","431168464"
"chesapeake health education program ","md","perry point","21902","521711309"
"arundel house of hope incorporated","md","glen burnie","21061","521993704"
"the kentland volunteer fire department of kentland md incorp","md","landover","20785","526049333"
"united states conference of catholic bishops","dc","washington","20017","530196617"
"professional nurses chapter of the brigham & womens hospital","ma","canton","02021","550916227"
"catawba volunteer fire department","nc","catawba","28609","561398757"
"beaufort-jasper-hampton comprehensive health services ","sc","ridgeland","29936","570523586"
"pee dee coalition against domestic & sexual assault","sc","florence","29503","570830844"
"catholic charities diocese of st petersburg ","fl","st petersburg","33705","590875805"
"big sandy area community action program incorporated","ky","paintsville","41240","610653946"
"st jude childrens research hospital ","tn","memphis","38105","620646012"
"nathan volunteer fire department ","ar","nashville","71852","710535932"
"catholic charities diocese of fort worth","tx","fort worth","76115","750808769"
"supporters of the university of minnesota-duluth womans rugb","wi","chippewa fls","54729","770718663"
"cystic fibrosis foundation therapeutics ","md","bethesda","20814","912059167"
"assistance league of southern california","ca","los angeles","90028","951641960"
"california institute of technology","ca","pasadena","91125","951643307"
"jewish federation & family services of orange county","ca","irvine","92603","952407026"
