"recipient_name","recipient_city_code","recipient_city_name","recipient_county_code","recipient_county_name","recipient_zip","recipient_state_code","recipient_country_code","recipient_type","receip_addr1","receip_addr2","receip_addr3","duns_no"
"california institute of technology","56000","pasadena","037","los angeles","91125","ca","usa","12: other nonprofit","1200 e california blvd","","","009584210"
"brigham & womens hospital","07000","boston","025","suffolk","02115","ma","usa","12: other nonprofit","10 vining st","","","030811269"
"us conference of catholic bishops","50000","washington","001","district of columbia","20017","dc","usa","12: other nonprofit","3211 4th st ne","","","003260072"
"structured employment economic development co","51000","new york","061","new york","10010","ny","usa","12: other nonprofit","915 broadway 17th floor","","","611634247"
"arundel house of hope","32650","glen burnie","003","anne arundel","21061","md","","12: other nonprofit","514 n crain hwy","","","964709000"
"massachusetts general hospital","07000","boston","025","suffolk","02114","ma","usa","12: other nonprofit","32 fruit st","","","073130411"
"ducks unlimited","07200","bismarck","015","burleigh","58503","nd","","12: other nonprofit","2525 river rd","","","1446531510000"
"scripps research institute","39360","la jolla","073","san diego","92037","ca","usa","12: other nonprofit","10666 n torrey pines rd","","","781613492"
"beth israel hospital","07000","boston","025","suffolk","02215","ma","usa","12: other nonprofit","330 brookline avenue","","","071723621"
"catholic charities & community svcs denver","20000","denver","031","denver","80211","co","","12: other nonprofit","4045 pecos st","","","078342276"
"big sandy area community action program","58962","paintsville","115","johnson","41240","ky","usa","12: other nonprofit","johnson county courthouse","","","098956121"
"asia foundation the","67000","san francisco","060","san francisco","94104","ca","usa","12: other nonprofit","465 california st 9th floor","","","074632001"
"chesapeake health education program","61100","perry point","015","cecil","21902","md","","12: other nonprofit","chep program office 11e","","","966299067"
"sloan kettering institute for cancer research","51000","new york","061","new york","10065","ny","usa","12: other nonprofit","1275 york avenue","","","064931884"
"advocacy center for the elderly & disabled","55000","new orleans","071","orleans","70112","la","usa","12: other nonprofit","1010 common st","","","112261565"
"st jude childrens research hospital","48000","memphis","157","shelby","38105","tn","usa","12: other nonprofit","322 n lauderdale st","","","067717892"
"media arts center san diego","66000","san diego","073","san diego","92104","ca","","12: other nonprofit","2921 el cajon blvd","","","8682136250000"
"national institute of aerospace associates","35000","hampton","650","hampton","23666","va","usa","12: other nonprofit","100 exploration way","","","1140544430000"
"georgia tech research corporation","04000","atlanta","121","fulton","30332","ga","usa","12: other nonprofit","505 10th st nw","","","0973940840000"
"butler hospital","59000","providence","007","providence","02906","ri","usa","12: other nonprofit","345 blackstone blvd","","","069847804"
"salud para la gente","83668","watsonville","087","santa cruz","95076","ca","usa","12: other nonprofit","195 aviation way","","","143820660"
"meadows regional medical center","79388","vidalia","279","toombs","30474","ga","usa","12: other nonprofit","1703 meadows lane","","","010122257"
"western maryland health care corporation","57650","oakland","023","garrett","21550","md","usa","12: other nonprofit","po box 656","","","138735597"
"community health center of central wyoming i","13150","casper","025","natrona","82601","wy","usa","12: other nonprofit","1522 e a st","","","069553514"
"columbia river community health services","07200","boardman","049","morrow","97818","or","usa","12: other nonprofit","po box 397","","","147185941"
"central florida health care","02750","avon park","055","highlands","33825","fl","usa","12: other nonprofit","one w main st","","","080826563"
"neighborhood improvement project","04196","augusta","245","richmond","30906","ga","usa","12: other nonprofit","2467 golden camp rd","","","023732964"
"national minority aids council","50000","washington","001","district of columbia","20009","dc","usa","12: other nonprofit","1931 13th st nw","","","194518742"
"vermont network against dom viol & sexual ass","46000","montpelier","023","washington","05601","vt","usa","12: other nonprofit","post office box 405","","","946320793"
"chadron community hospital","08605","chadron","045","dawes","69337","ne","usa","12: other nonprofit","821 morehead st","","","073815032"
"university of kansas center for research","38900","lawrence","045","douglas","66045","ks","usa","12: other nonprofit","2385 irving hill rd","","","076248616"
"regence health network","57980","plainview","189","hale","79072","tx","usa","12: other nonprofit","2801 w 8th st","","","071665178"
"nuestra clinica del valle","57200","pharr","215","hidalgo","78577","tx","usa","12: other nonprofit","po box 1689","0","","030919518"
