"recipient_name","recipient_city_code","recipient_city_name","recipient_county_code","recipient_county_name","recipient_zip","recipient_state_code","recipient_country_code","recipient_type","receip_addr1","receip_addr2","receip_addr3","duns_no"
"structured employment economic development co",51000,"new york",61,"new york",10010,"ny","usa","12: other nonprofit","915 broadway 17th floor","","","611634247"
"arundel house of hope",32650,"glen burnie",3,"anne arundel",21061,"md","","12: other nonprofit","514 n crain hwy","","","964709000"
"scripps research institute",39360,"la jolla",73,"san diego",92037,"ca","usa","12: other nonprofit","10666 n torrey pines rd","","","781613492"
"chesapeake health education program",61100,"perry point",15,"cecil",21902,"md","","12: other nonprofit","chep program office 11e","","","966299067"
"advocacy center for the elderly & disabled",55000,"new orleans",71,"orleans",70112,"la","usa","12: other nonprofit","1010 common st","","","112261565"
"vermont network against dom viol & sexual ass",46000,"montpelier",23,"washington",5601,"vt","usa","12: other nonprofit","post office box 405","","","946320793"
"lawrence livermore national laboratory",41992,"livermore",1,"alameda",94551,"ca","usa","12: other nonprofit","post office box 5516l-435","","","827171463"
"visiting nurse ass of central jersey commty",1960,"asbury park",25,"monmouth",7712,"nj","usa","12: other nonprofit","1301 main st","","","929359040"
"scranton-temple residency program",69000,"scranton",69,"lackawanna",18510,"pa","usa","12: other nonprofit","746 jefferson avenue","","","786376525"
"chase-brexton clinic",4000,"baltimore",510,"baltimore",21201,"md","usa","12: other nonprofit","1001 cathedral st","","","621498906"
"mainegeneral health associates",27085,"gardiner",11,"kennebec",4345,"me","usa","12: other nonprofit","150 dresden avenue","","","159719582"
"tennessee coalition against domestic & sexual",52000,"nashville",37,"davidson",37212,"tn","usa","12: other nonprofit","po box 120972","","","787712454"
"dona ana county colonias dev council",39380,"las cruces",13,"dona ana",88001,"nm","usa","12: other nonprofit","1050 monte vista","","","962803052"
"monroe counth health department",36550,"key w",87,"monroe",33040,"fl","usa","12: other nonprofit","1100 simonton st","","","364215061"
"arkansas valley organic growers",27975,"fowler",89,"otero",81039,"co","usa","12: other nonprofit","5856 county rd hh 5","","","963455972"
"starr nursery llc",11781,"calverton",103,"suffolk",11933,"ny","usa","12: other nonprofit","4152 middle county rd","","","150513203"
"natalbany volunteer fire department",53475,"natalbany",105,"tangipahoa",70451,"la","usa","12: other nonprofit","p o box 337","","","131222507"
"fairchild fire protection district",24825,"fairchild",35,"eau claire",54741,"wi","usa","12: other nonprofit","fairchild fire protection dstrct200","","","126057772"
"family services of grant county",47245,"moses lake",25,"grant",98837,"wa","usa","12: other nonprofit","903 w 3rd avenue","","","601812845"
"catholic charities diocese of joliet",38570,"joliet",93,"kendall",60432,"il","","12: other nonprofit","203 n ottawa st","","","165912106"
"regent of the university of minnesota",43000,"minneapolis",53,"hennepin",55455,"mn","usa","12: other nonprofit","200 oak st","","","555917996"
